Sample	command
SRR1945467_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945467_fastp.html -j fastp_output/SRR1945467_pe_fastp.json -i SRR1945467_1.fastq.gz -I SRR1945467_2.fastq.gz -o trimmed_reads/SRR1945467_1_trim.fastq.gz -O trimmed_reads/SRR1945467_2_trim.fastq.gz 
SRR1945468_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945468_fastp.html -j fastp_output/SRR1945468_pe_fastp.json -i SRR1945468_1.fastq.gz -I SRR1945468_2.fastq.gz -o trimmed_reads/SRR1945468_1_trim.fastq.gz -O trimmed_reads/SRR1945468_2_trim.fastq.gz 
SRR1945469_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945469_fastp.html -j fastp_output/SRR1945469_pe_fastp.json -i SRR1945469_1.fastq.gz -I SRR1945469_2.fastq.gz -o trimmed_reads/SRR1945469_1_trim.fastq.gz -O trimmed_reads/SRR1945469_2_trim.fastq.gz 
SRR1945470_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945470_fastp.html -j fastp_output/SRR1945470_pe_fastp.json -i SRR1945470_1.fastq.gz -I SRR1945470_2.fastq.gz -o trimmed_reads/SRR1945470_1_trim.fastq.gz -O trimmed_reads/SRR1945470_2_trim.fastq.gz 
SRR1945471_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945471_fastp.html -j fastp_output/SRR1945471_pe_fastp.json -i SRR1945471_1.fastq.gz -I SRR1945471_2.fastq.gz -o trimmed_reads/SRR1945471_1_trim.fastq.gz -O trimmed_reads/SRR1945471_2_trim.fastq.gz 
SRR1945472_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945472_fastp.html -j fastp_output/SRR1945472_pe_fastp.json -i SRR1945472_1.fastq.gz -I SRR1945472_2.fastq.gz -o trimmed_reads/SRR1945472_1_trim.fastq.gz -O trimmed_reads/SRR1945472_2_trim.fastq.gz 
SRR1945473_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945473_fastp.html -j fastp_output/SRR1945473_pe_fastp.json -i SRR1945473_1.fastq.gz -I SRR1945473_2.fastq.gz -o trimmed_reads/SRR1945473_1_trim.fastq.gz -O trimmed_reads/SRR1945473_2_trim.fastq.gz 
SRR1945474_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945474_fastp.html -j fastp_output/SRR1945474_pe_fastp.json -i SRR1945474_1.fastq.gz -I SRR1945474_2.fastq.gz -o trimmed_reads/SRR1945474_1_trim.fastq.gz -O trimmed_reads/SRR1945474_2_trim.fastq.gz 
SRR1945475_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945475_fastp.html -j fastp_output/SRR1945475_pe_fastp.json -i SRR1945475_1.fastq.gz -I SRR1945475_2.fastq.gz -o trimmed_reads/SRR1945475_1_trim.fastq.gz -O trimmed_reads/SRR1945475_2_trim.fastq.gz 
SRR1945476_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945476_fastp.html -j fastp_output/SRR1945476_pe_fastp.json -i SRR1945476_1.fastq.gz -I SRR1945476_2.fastq.gz -o trimmed_reads/SRR1945476_1_trim.fastq.gz -O trimmed_reads/SRR1945476_2_trim.fastq.gz 
SRR1945477_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945477_fastp.html -j fastp_output/SRR1945477_pe_fastp.json -i SRR1945477_1.fastq.gz -I SRR1945477_2.fastq.gz -o trimmed_reads/SRR1945477_1_trim.fastq.gz -O trimmed_reads/SRR1945477_2_trim.fastq.gz 
SRR1945478_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945478_fastp.html -j fastp_output/SRR1945478_pe_fastp.json -i SRR1945478_1.fastq.gz -I SRR1945478_2.fastq.gz -o trimmed_reads/SRR1945478_1_trim.fastq.gz -O trimmed_reads/SRR1945478_2_trim.fastq.gz 
SRR1945479_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945479_fastp.html -j fastp_output/SRR1945479_pe_fastp.json -i SRR1945479_1.fastq.gz -I SRR1945479_2.fastq.gz -o trimmed_reads/SRR1945479_1_trim.fastq.gz -O trimmed_reads/SRR1945479_2_trim.fastq.gz 
SRR1945480_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945480_fastp.html -j fastp_output/SRR1945480_pe_fastp.json -i SRR1945480_1.fastq.gz -I SRR1945480_2.fastq.gz -o trimmed_reads/SRR1945480_1_trim.fastq.gz -O trimmed_reads/SRR1945480_2_trim.fastq.gz 
SRR1945481_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945481_fastp.html -j fastp_output/SRR1945481_pe_fastp.json -i SRR1945481_1.fastq.gz -I SRR1945481_2.fastq.gz -o trimmed_reads/SRR1945481_1_trim.fastq.gz -O trimmed_reads/SRR1945481_2_trim.fastq.gz 
SRR1945482_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945482_fastp.html -j fastp_output/SRR1945482_pe_fastp.json -i SRR1945482_1.fastq.gz -I SRR1945482_2.fastq.gz -o trimmed_reads/SRR1945482_1_trim.fastq.gz -O trimmed_reads/SRR1945482_2_trim.fastq.gz 
SRR1945483_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945483_fastp.html -j fastp_output/SRR1945483_pe_fastp.json -i SRR1945483_1.fastq.gz -I SRR1945483_2.fastq.gz -o trimmed_reads/SRR1945483_1_trim.fastq.gz -O trimmed_reads/SRR1945483_2_trim.fastq.gz 
SRR1945484_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945484_fastp.html -j fastp_output/SRR1945484_pe_fastp.json -i SRR1945484_1.fastq.gz -I SRR1945484_2.fastq.gz -o trimmed_reads/SRR1945484_1_trim.fastq.gz -O trimmed_reads/SRR1945484_2_trim.fastq.gz 
SRR1945485_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945485_fastp.html -j fastp_output/SRR1945485_pe_fastp.json -i SRR1945485_1.fastq.gz -I SRR1945485_2.fastq.gz -o trimmed_reads/SRR1945485_1_trim.fastq.gz -O trimmed_reads/SRR1945485_2_trim.fastq.gz 
SRR1945486_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945486_fastp.html -j fastp_output/SRR1945486_pe_fastp.json -i SRR1945486_1.fastq.gz -I SRR1945486_2.fastq.gz -o trimmed_reads/SRR1945486_1_trim.fastq.gz -O trimmed_reads/SRR1945486_2_trim.fastq.gz 
SRR1945487_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945487_fastp.html -j fastp_output/SRR1945487_pe_fastp.json -i SRR1945487_1.fastq.gz -I SRR1945487_2.fastq.gz -o trimmed_reads/SRR1945487_1_trim.fastq.gz -O trimmed_reads/SRR1945487_2_trim.fastq.gz 
SRR1945488_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945488_fastp.html -j fastp_output/SRR1945488_pe_fastp.json -i SRR1945488_1.fastq.gz -I SRR1945488_2.fastq.gz -o trimmed_reads/SRR1945488_1_trim.fastq.gz -O trimmed_reads/SRR1945488_2_trim.fastq.gz 
SRR1945489_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945489_fastp.html -j fastp_output/SRR1945489_pe_fastp.json -i SRR1945489_1.fastq.gz -I SRR1945489_2.fastq.gz -o trimmed_reads/SRR1945489_1_trim.fastq.gz -O trimmed_reads/SRR1945489_2_trim.fastq.gz 
SRR1945490_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945490_fastp.html -j fastp_output/SRR1945490_pe_fastp.json -i SRR1945490_1.fastq.gz -I SRR1945490_2.fastq.gz -o trimmed_reads/SRR1945490_1_trim.fastq.gz -O trimmed_reads/SRR1945490_2_trim.fastq.gz 
SRR1945491_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945491_fastp.html -j fastp_output/SRR1945491_pe_fastp.json -i SRR1945491_1.fastq.gz -I SRR1945491_2.fastq.gz -o trimmed_reads/SRR1945491_1_trim.fastq.gz -O trimmed_reads/SRR1945491_2_trim.fastq.gz 
SRR1945492_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945492_fastp.html -j fastp_output/SRR1945492_pe_fastp.json -i SRR1945492_1.fastq.gz -I SRR1945492_2.fastq.gz -o trimmed_reads/SRR1945492_1_trim.fastq.gz -O trimmed_reads/SRR1945492_2_trim.fastq.gz 
SRR1945493_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945493_fastp.html -j fastp_output/SRR1945493_pe_fastp.json -i SRR1945493_1.fastq.gz -I SRR1945493_2.fastq.gz -o trimmed_reads/SRR1945493_1_trim.fastq.gz -O trimmed_reads/SRR1945493_2_trim.fastq.gz 
SRR1945494_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945494_fastp.html -j fastp_output/SRR1945494_pe_fastp.json -i SRR1945494_1.fastq.gz -I SRR1945494_2.fastq.gz -o trimmed_reads/SRR1945494_1_trim.fastq.gz -O trimmed_reads/SRR1945494_2_trim.fastq.gz 
SRR1945495_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945495_fastp.html -j fastp_output/SRR1945495_pe_fastp.json -i SRR1945495_1.fastq.gz -I SRR1945495_2.fastq.gz -o trimmed_reads/SRR1945495_1_trim.fastq.gz -O trimmed_reads/SRR1945495_2_trim.fastq.gz 
SRR1945496_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945496_fastp.html -j fastp_output/SRR1945496_pe_fastp.json -i SRR1945496_1.fastq.gz -I SRR1945496_2.fastq.gz -o trimmed_reads/SRR1945496_1_trim.fastq.gz -O trimmed_reads/SRR1945496_2_trim.fastq.gz 
SRR1945497_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945497_fastp.html -j fastp_output/SRR1945497_pe_fastp.json -i SRR1945497_1.fastq.gz -I SRR1945497_2.fastq.gz -o trimmed_reads/SRR1945497_1_trim.fastq.gz -O trimmed_reads/SRR1945497_2_trim.fastq.gz 
SRR1945498_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945498_fastp.html -j fastp_output/SRR1945498_pe_fastp.json -i SRR1945498_1.fastq.gz -I SRR1945498_2.fastq.gz -o trimmed_reads/SRR1945498_1_trim.fastq.gz -O trimmed_reads/SRR1945498_2_trim.fastq.gz 
SRR1945499	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945499_fastp.html -j fastp_output/SRR1945499_se_fastp.json -i SRR1945499.fastq.gz -o trimmed_reads/SRR1945499_trim.fastq.gz 
SRR1945500	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945500_fastp.html -j fastp_output/SRR1945500_se_fastp.json -i SRR1945500.fastq.gz -o trimmed_reads/SRR1945500_trim.fastq.gz 
SRR1945501_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945501_fastp.html -j fastp_output/SRR1945501_pe_fastp.json -i SRR1945501_1.fastq.gz -I SRR1945501_2.fastq.gz -o trimmed_reads/SRR1945501_1_trim.fastq.gz -O trimmed_reads/SRR1945501_2_trim.fastq.gz 
SRR1945502_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945502_fastp.html -j fastp_output/SRR1945502_pe_fastp.json -i SRR1945502_1.fastq.gz -I SRR1945502_2.fastq.gz -o trimmed_reads/SRR1945502_1_trim.fastq.gz -O trimmed_reads/SRR1945502_2_trim.fastq.gz 
SRR1945503_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945503_fastp.html -j fastp_output/SRR1945503_pe_fastp.json -i SRR1945503_1.fastq.gz -I SRR1945503_2.fastq.gz -o trimmed_reads/SRR1945503_1_trim.fastq.gz -O trimmed_reads/SRR1945503_2_trim.fastq.gz 
SRR1945504_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945504_fastp.html -j fastp_output/SRR1945504_pe_fastp.json -i SRR1945504_1.fastq.gz -I SRR1945504_2.fastq.gz -o trimmed_reads/SRR1945504_1_trim.fastq.gz -O trimmed_reads/SRR1945504_2_trim.fastq.gz 
SRR1945505_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945505_fastp.html -j fastp_output/SRR1945505_pe_fastp.json -i SRR1945505_1.fastq.gz -I SRR1945505_2.fastq.gz -o trimmed_reads/SRR1945505_1_trim.fastq.gz -O trimmed_reads/SRR1945505_2_trim.fastq.gz 
SRR1945506_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945506_fastp.html -j fastp_output/SRR1945506_pe_fastp.json -i SRR1945506_1.fastq.gz -I SRR1945506_2.fastq.gz -o trimmed_reads/SRR1945506_1_trim.fastq.gz -O trimmed_reads/SRR1945506_2_trim.fastq.gz 
SRR1945507_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945507_fastp.html -j fastp_output/SRR1945507_pe_fastp.json -i SRR1945507_1.fastq.gz -I SRR1945507_2.fastq.gz -o trimmed_reads/SRR1945507_1_trim.fastq.gz -O trimmed_reads/SRR1945507_2_trim.fastq.gz 
SRR1945508_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945508_fastp.html -j fastp_output/SRR1945508_pe_fastp.json -i SRR1945508_1.fastq.gz -I SRR1945508_2.fastq.gz -o trimmed_reads/SRR1945508_1_trim.fastq.gz -O trimmed_reads/SRR1945508_2_trim.fastq.gz 
SRR1945509_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945509_fastp.html -j fastp_output/SRR1945509_pe_fastp.json -i SRR1945509_1.fastq.gz -I SRR1945509_2.fastq.gz -o trimmed_reads/SRR1945509_1_trim.fastq.gz -O trimmed_reads/SRR1945509_2_trim.fastq.gz 
SRR1945510_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945510_fastp.html -j fastp_output/SRR1945510_pe_fastp.json -i SRR1945510_1.fastq.gz -I SRR1945510_2.fastq.gz -o trimmed_reads/SRR1945510_1_trim.fastq.gz -O trimmed_reads/SRR1945510_2_trim.fastq.gz 
SRR1945511_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945511_fastp.html -j fastp_output/SRR1945511_pe_fastp.json -i SRR1945511_1.fastq.gz -I SRR1945511_2.fastq.gz -o trimmed_reads/SRR1945511_1_trim.fastq.gz -O trimmed_reads/SRR1945511_2_trim.fastq.gz 
SRR1945512_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945512_fastp.html -j fastp_output/SRR1945512_pe_fastp.json -i SRR1945512_1.fastq.gz -I SRR1945512_2.fastq.gz -o trimmed_reads/SRR1945512_1_trim.fastq.gz -O trimmed_reads/SRR1945512_2_trim.fastq.gz 
SRR1945513_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945513_fastp.html -j fastp_output/SRR1945513_pe_fastp.json -i SRR1945513_1.fastq.gz -I SRR1945513_2.fastq.gz -o trimmed_reads/SRR1945513_1_trim.fastq.gz -O trimmed_reads/SRR1945513_2_trim.fastq.gz 
SRR1945514_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945514_fastp.html -j fastp_output/SRR1945514_pe_fastp.json -i SRR1945514_1.fastq.gz -I SRR1945514_2.fastq.gz -o trimmed_reads/SRR1945514_1_trim.fastq.gz -O trimmed_reads/SRR1945514_2_trim.fastq.gz 
SRR1945515_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945515_fastp.html -j fastp_output/SRR1945515_pe_fastp.json -i SRR1945515_1.fastq.gz -I SRR1945515_2.fastq.gz -o trimmed_reads/SRR1945515_1_trim.fastq.gz -O trimmed_reads/SRR1945515_2_trim.fastq.gz 
